,cleaned_text,topic_hl,topic_hl_encoded
526,"Where the ball bags is the postman...? Almost midday, #royalmail useless.",Customer Service,0
1235,"#RoyalMail set for 'material loss' despite jump in parcels

 

#London",Customer Service,0
2590,"2002 Christmas pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage  #postagestamp #Christmas #christmasstamps
#xmasstamps ",Philately,2
738,It's Common sense to just put the Walkers packet in an envelope and send it that way...... Imagine being the postman/woman you open the postbox to see a ton of empty crisp packets ...... #WalkersCrisps #RoyalMail,Customer Service,0
2494,"Attack of the giant Easter Chicken! Quick come save our town and adopt a chick before all the posties get eaten!

 #easterchick #easter #killerbunny #chicchaos #royalmail #knutsford #cheshire #altrincham #alderlyedge #northwich #wilmslow #Independent #shoplocal ",Royal Reply,5
242,Love it when the postman does knock! Thanks #royalmail,Customer Service,0
970,"Striking #RoyalMail couriers at #Whitechapel get backing from film icon #KenLoach
",Customer Service,0
1546,#royalmail no post for a week doubt if our village post box been emptied absolute disgrace.,Customer Service,0
1593,I changed plans to go scotland due to covid and sent Xmas parcels by post. What a fiasco. I sent Monday by parcelforce 48hrs guaranteed. The post office accidentally gave parcel to Royal Mail and not parcelforce and now no one knows where it is 🙄#fiasco #royalmail #parcelforce,Customer Service,0
512,That is the 3rd delivery international that has gone missin through #royalmail So annoyed that if it is non tracked then just never arrives!,Customer Service,0
1338,Seriously you pay a first class price for a stamp for next day delivery 3 days #royalmail now and still Not arrived .. so where/how do you get recompense literally your service is just fraud and don’t say hey it’s xmas .. no excuse,Customer Service,0
1253,"#royalmail 
Something for you card has opening times, but nah, just kidding.",Customer Service,0
223,"Cheeky gits Royal mail, they now say there is no guarantee on your special del for next day because they have backlog. Useless #royalmail",Customer Service,0
2278,"The sinking Royal Mail share price has driven the firm's dividend yield through the roof.

So should I buy the former FTSE 100 share to boost my passive income?

Read about it here:



#RoyalMail #RoyalMailShares #RMG #FTSE250 #Dividends #Valueinvesting",Financial News,1
518,@ElJayDay I posted a packet two weeks ago they tried to deliver it to me today #Royalmail,Customer Service,0
250,Not the best picture as it was going past at speed. But he is the #royalmail logo. ,Customer Service,0
1649,Yet again another review that effects my business but really should be effecting royal fail 🤯 #royalmail ,Customer Service,0
1245,"On my computer screen 16.38 today, Tuesday 22nd. #royalmail ",Customer Service,0
1452,Out and about today lovely view for work #royalmail #postie ,Customer Service,0
558,Bumper day forecasted tomorrow #RoyalMail,Customer Service,0
1617,A month after: Thank you #Royalmail always on time 😳 very efficient ,Customer Service,0
94,Might #RoyalMail get rid of the humble red postbox?  ,Customer Service,0
1150,Royal Mail postal delay update:   #RoyalMail,Customer Service,0
2172,"It is a physically demanding job but you will be working for 'one of  UK’s best-loved brands' Royal Mail @RoyalMail 

#Postperson with Driving - #MarketHarborough Delivery Office


#LeicestershireJobs #HarboroughJobs #RoyalMail ",Royal Mail Jobs,4
787,A beautiful gesture fom #RoyalMail ,Customer Service,0
498,#CWU  #royalmail so what are dispute resolution procedures all about. Sounds like a legal loophole rm have managed to plug!!,Customer Service,0
2024,"@LabourNHSJAN @LeonC1963 @RadicalAssoc @ImpDale @LibDems Got his Knighthood for selling off #RoyalMail on the cheap so that #Tory friends &amp; cohorts profited. We haven't forgotten Vince,&amp; we won't.",Politics,3
2387,"One of the 100 post boxes all over UK which were painted gold in 2012 to celebrate the achievements of Team GB at the Olympics and Paralympics 🇬🇧️🥇

#goldpostbox #postbox #royalmail #westminster #Olympics #olympicgold #londonsouvenirs #mylondonsouvenirs ",Philately,2
1519,#royalmail seems my collection as been missed today,Customer Service,0
2459,"No surprise there #royalmail has been processing 'Christmas level' or more amounts of work, with a large chunk of staff off sick, we're still getting it done, making mega bonuses for the 'mandarins' above, we get some piecemeal platitudes, but no mention of financial rewards!",Financial News,1
2485,"You use their service everyday, but have you checked out their #graduatescheme? Listen here to find out more about the opportunities with #royalmail 

#jobsearch #graduatejobs #gradjobs #gradscheme #graduates ",Royal Mail Jobs,4
2065,"@andy_willmer @TheMendozaWoman @UKLabour Hmmmm 
All I say to this is #studentbetrayal #HostileEnvironment immigration #austeritydeaths #welfaresanctions #academyschools #plasticbags #royalmail 

Reliable libs? Behave Andy. Why do you think I left libdems? 
They are anti democratic That’s for sure",Politics,3
844,No you simply hating on #RoyalMail because we got nice hours that are somewhat inconvenient for you...,Customer Service,0
999,What a joke over one hour on hold to #royalmail to try to pay for feetopay as their online system not working!,Customer Service,0
265,Sooner these cocks get privatised the better! #royalmail ,Customer Service,0
2367,Full list of #RoyalMail casual jobs for Xmas here : ,Royal Mail Jobs,4
339,&amp; @RoyalMail wonder why people are sending less post?If I have to unconcertina my post one more time I'll concertina the postman #royalmail ,Customer Service,0
2104,"“After careful consideration” 
UK gov decides to sell out our Postal Workers and 500 yrs of tradition.
(Well it was Westminster that allowed the privatisation in the first place).
MPs watched as P+O pulled their stunt. Here they go again.
#RoyalMail
",Politics,3
43,@vfestival had major dramas with #royalmail postman signing for #vfest tickets on my behalf! ,Customer Service,0
358,Fuming #royalmail #postoffice have the most ridiculous rules,Customer Service,0
501,Just all call in sick... not difficult #RoyalMail halts 48-hour strike after obtaining high court injunction ,Customer Service,0
1552,#royalmail well done royal mail putting packages In My recycle bin  without telling me good job I noticed,Customer Service,0
2489,Applied to the @royalmail #graduatescheme? Listen here for how to make your #graduatejob application stand out  #graduatejobs #jobsearch #gradjobs #royalmailjobs #jobsinlondon #careers #careeradvice #royalmail #graduatescheme,Royal Mail Jobs,4
2283,"✉ Reply n. 304 👑
Birthday reply from HM The Custodian of the Crown of Romania
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
887,"@RoyalMail why would a royal mail van go down the same road everyday, drive in and out with no postbox, same time everyday and doesnt live their? is there a service you do that collects mail from houses? its always 4pm. just really interested. please could you tell me? #royalmail",Customer Service,0
2435,CITADEL ADVISORS LLC declares that on March 23 it reduced its net short position on ROYAL MAIL PLC from 0.58% to 0.47%  #RoyalMail,Financial News,1
79,Good news indeed #royalmail ,Customer Service,0
1682,Another letter from the UK arrived cut open at the end with a sharpe knife. #royalmail,Customer Service,0
792,WOW! This is first class service #RoyalMail ,Customer Service,0
1068,Massive queue at post office collections.. do the postman ever actually bring parcels out with them? Think not.. #RoyalMail,Customer Service,0
705,#royalmail would you like to return our £200 package to us!! Er..... apparently not!,Customer Service,0
1133,#RoyalMail stops Saturday post deliveries until further notice  via @MetroUK 😮 #coronavirus,Customer Service,0
657,#royalmail post office closed again?? BS14 #notinpressed ,Customer Service,0
431,#Royalmail Are shit,Customer Service,0
1702,"@politic_animal This will all come to  an end as mean,greedy,charge you again #RoyalMail introduce new bar code only stamps next year
@RoyalMail",Customer Service,0
2264,"Still in the world of #logistics with the #RoyalMail group which has given a great BUY signal on our system &amp; remains firmly in BUY it despite recent weakness

See chart. Key: above the cloud ""In Buy"" below ""In Sell"" $RMG.LN #trading #investing #stocks #fintwit ",Financial News,1
483,#royalmail staff to strike - will anyone notice? 🤔#posties ,Customer Service,0
1079,Our postman has always done this. We love him to bits! #RoyalMail,Customer Service,0
609,@CHdance97 Was it an illegible scrawl? With no delivered to address and no card delivered through your door? Just happened to us. Not the most trustworthy workers #royalmail,Customer Service,0
2070,"@CWUSCP Shocking how the law protects big business over workers rights. Solidarity to all postal workers in their struggle with #RoyalMail Change is coming, Vote Labour. 🌹 #WeRiseAgain #WeRiseTogether",Politics,3
303,Letter posted yesterday 2nd class arrived this morning! Thank you #RoyalMail,Customer Service,0
851,When you don't have your regular postman and 4parcels go missing....😱 #royalmail,Customer Service,0
889,Work selfie #nights #royalmail ,Customer Service,0
424,Warnings over fake 'while you were out' #RoyalMail letters  via @telegraphnews,Customer Service,0
2565,2003 Birds of Prey #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage #bird #birds #birdsofprey #postagestamp ,Philately,2
841,"@RoyalMail @RoyalMailHelp please tell your postmen NOT to stuff A4+ envelopes through a letter box. 
My photos have just been delivered and they now have a crease in them 😡 I sell these to raise money for @MindCharity in memory of my son.
#useyourbrain #royalmail #postmen",Customer Service,0
2612,MARSHALL WACE LLP declares that on May 06 it reduced its net short position on ROYAL MAIL PLC from 1.49% to 1.39%  #RoyalMail,Financial News,1
799,#royalmail where is my delivery time span come and gone still waiting😔😔😔,Customer Service,0
1098,@666andyh one for you #royalmail,Customer Service,0
236,#royalmail pension just read my pension carol vordaman couldn't work that out but as long as directors ok and union big wigs f*ck the worker ,Customer Service,0
1042,#royalmail howcome @RoyalMailHelp  are losing a 1/3rd of mail that I post &amp; no one in Royal mail cares? item WM952098574GB wont be officially lost until 17 Jan 2020 despite being posted on 2 Jan 2020! Royal mail have serious loss or theft issues here,Customer Service,0
1179,Some amount of letters delivered today #RoyalMail ,Customer Service,0
63,Ingenious postman in Ireland manages to deliver letter addressed to  the good old #royalmail @antonthom40,Customer Service,0
2373,Christmas Casual Temp Worker @RoyalMail #Nottingham #JingleJobs #NottsJobHour See: ,Royal Mail Jobs,4
470,Royal Mail lost my parcel and as compensation sends me stamps!!!!Shame on you #royalmail,Customer Service,0
1926,Fucking useless bunch of cunts they should have there pay cut #royalmail,Customer Service,0
1140,#Royalmail Takeover speculation,Customer Service,0
1029,"#royalmail are shite. Had a parcel since 3am last friday. Recon it was out for delivery 5:15. Liars nobody knocks on doors then. Its been ready for collection since 17:15 last friday ""unknown collection point"". Nothing through door so thats a lie too.....wankers",Customer Service,0
2401,2000 Pack M03 #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamps #presentation #presentationpacks #definitivestamp ,Philately,2
174,#bridport postal wax seal #royalmail sale 8 Dec 2016 ,Customer Service,0
1656,"#RoyalMail postie on a Sunday 

Have I missed something ?",Customer Service,0
1165,@RoyalMailHelp DM sent,Customer Service,0
178,"#royalmail 
looking for advise to log on to on- line assessment",Customer Service,0
503,Postal workers defiant despite  court injunction. The best response would be to strike anyway @CWUnews #royalmail  ,Customer Service,0
2199,"Postperson with Driving - #Leicester North Delivery Office @RoyalMail 

Permanent position. Full details here: 

#LeicesterJobs #Hiring #RoyalMail ",Royal Mail Jobs,4
990,Postie's are getting ready for their busiest time of year. However strike action is planned in protest of further cuts in #royalmail. Please be kind. I have an awesome #postie  who I support whole-heartily in their strike. # #notallsuperheroeswearcapes,Customer Service,0
1701,"#royalmail do my head in, feels like I have to chase parcels far too often",Customer Service,0
783,#RoyalMail u are the worst delivery company along with the worser people working!! #nonsense,Customer Service,0
1569,"#royalmail, what a fu**in joke, had my package for over a week now",Customer Service,0
1671,OK I take it back #royalmail delivered today so all was not lost for mother's day. Thank you and my faith in this service is resumed,Customer Service,0
1586,#RoyalMail providing an absolutely archaic service.,Customer Service,0
707,There is a first class messsge in there that addresses the stupidity of #Brexit #RoyalMail ,Customer Service,0
1863,Explain which other couriers will take on the letter deliveries? #royalmail,Customer Service,0
1084,Thank you #royalmail the post is a wonderful thing! ,Customer Service,0
251,"Here goes a looonnng wait in the postie, they're going to love me #postie #royalmail #happymail… ",Customer Service,0
1346,#ROYALFAIL NOT #ROYALMAIL once again post delivered to another address and town. #cardthroughdoor!!,Customer Service,0
1917,"today as every Friday in term time, I Volunteer led the local mum and baby group then sent a couple of care packs out, trying to look for a new international postage service as #royalmail is just letting us down! Donate towards our work  ",Customer Service,0
48,@clarebalding @mrdanwalker Have we having golden post boxes this time round? #RoyalMail,Customer Service,0
1966,What a shit day to be out working 😭😭 🌧 #royalmail #rain #wind #Weather,Royal Reply,5
926,Come on #royalmail Royalmail get a grip. Us this really how Mail should be received? Ripped bent and wet through?!!! Not happy as very important documents !,Customer Service,0
80,"Just received letter from lovely stranger in Wiltshire enclosing mail addressed to me, delivered to him by #RoyalMail. I live in London. Wow",Customer Service,0
2352,Postperson with #Driving  35 hrs pw #permanent @RoyalMail #Morden #Merton  #Jobs #CustomerServiceJobs #DrivingJobs #RoyalMail #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
1670,"When a trip to the post box turns out to be a mini adventure for our Nursery children. 
We saw a real life post van with lots of letters inside and a post person delivering actual real life letters. 
A massive thank you to the 2 post workers who spoke to us #royalmail ",Customer Service,0
302,not good enough. You broke a contract and left an elderly lady without her birthday card. Send her some flowers if sorry #royalmail ,Customer Service,0
1386,"#royalmail Winsford Hill,Exmoor Simon the postie out delivering on a beautiful day, happy hubby!! ",Customer Service,0
525,Start posting christmas cards now people if you want them to arrive in time for  christmas !!! #RoyalMail 😠,Customer Service,0
1365,seriously pissed now ... 1 post in 10 days ! #royalmail and i am waiting on important stuff to arrive,Customer Service,0
141,Cheers to the postman that just folded all my birthday cards in half to wedge them through the door #royalmail @RoyalMail,Customer Service,0
1559,"Wow, more letter box spam than my inbox today. Is it #royalmail posties putting this junk though my door?  Did get one letter though. Hang on, it's a bill 🤔 ",Customer Service,0
758,"When you get your moon pig card through the letter box. It marks do not bend on the front, and comes like this 😡 #royalmail ",Customer Service,0
2153,"Postman/Postwoman with Driving, @royalmail, Horsham. Info/apply:   #WestSussexJobs #HorshamJobs #RoyalMail #MailJobs #DeliveryJobs ",Royal Mail Jobs,4
2058,"@ToyShades are #Brexit ready. Whatever #mrsmay hits us with, deliveries will not be interrupted ❤️🇬🇧🕶 #BrexitBunker #Hardbrexit #brexitready #royalmail #internationalexports",Politics,3
1403,"What a pr**k #royalmail
#postman
Royal Mail probes postman who left widow, 72, in snow after she fell  @MailOnline",Customer Service,0
2182,"Join one of the UK’s best-loved brands @RoyalMail 

Postperson with Driving - #Bolsover Delivery Office

Deliver your application today: 

#RoyalMail #DerbyshireJobs #Hiring ",Royal Mail Jobs,4
2556,2006 National Portrait Gallery presentation pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postagestampsuk #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #Scotland  #postage ,Philately,2
1555,Trying to write something for you cards in this weather. #royalmail #postman ,Customer Service,0
1202,Left in blue bin after not even knocking the door. 👌 #royalmail ,Customer Service,0
2275,"#RMG #RoyalMail
After breaking through resistance in Dec, it is consolidating nicely within this range.  Accumulating positions in this range around the new sup level of 495. Lots of room for a big move up towards 640-900 – the PT set by all top analysts for this year.
#barclays ",Financial News,1
2308,"✉️ Reply n. 379 👑
🎄 Christmas reply from The Grand Ducal family of @MecklenStrelitz
Thank you so much 🙏
#royalmail #royalletters #royalreply ",Royal Reply,5
1728, whoever decided to buy #RoyalMail is truly an idiot,Customer Service,0
1334,Ok third time lucky. Anyone waiting on packages from Royal Mail here all BT areas check it out.#RoyalMail ,Customer Service,0
943,Sir #EltonJohn features on new set of #RoyalMail stamps  ,Customer Service,0
1747,"Will anyone actually notice another Postie strike this summer?

Underworked and overpaid 

 #royalmail",Customer Service,0
2282,My most recent #royalmail from William &amp; Kate! ,Royal Reply,5
2269,Royal Mail Group PLC share price would near-double from current levels to hit ambitious target set by US bank #RMG #royalmail #JPMorgan maybe of interest to followers of #logistics companies. #WIN #ASC #BOO #MKS #AO #OCDO ,Financial News,1
6,When lost in the muddle of Temple your best hope is always the postman- thanks #royalmail,Customer Service,0
1213,Supporting the nation #royalmail,Customer Service,0
796,#royalmail collection serice #chichester they don't know the meaning of customer service rudest woman I've ever met! #HappyChristmas !,Customer Service,0
380,Why the heck does my postman fold all my letters in half before putting them through the letterbox?? #royalmail,Customer Service,0
566,@RoyalMail came home to find this envelope through my letter box which has clearly been sliced open down each side and the card is missing #thieves #royalmail ,Customer Service,0
2,So #royalmail not delivering despite same address just different door @RoyalMail,Customer Service,0
1612,"#RoyalMail delivers letter to Co Antrim man using just his description.
",Customer Service,0
2516,A lack of colour #letterbox #postbox #black #onthewall @lumixuk @lumix #lumix #lumixgx9 #gx9 #dgleica #leicadg #leicadgsummilux15mm #royalmail  ,Philately,2
1789,"#royalmail once more we have got cards from our post centre to say we have parcels that couldn’t be delivered. Neither needed signing for, both would easily fit through letterbox. Suspicion, Posties no longer carry parcels and just write out cards to deliver. Parcels left in HQ.",Customer Service,0
2533,"Dashound, 
#stamplove #postbox #mailart #usedstamps #ilovestamps
#royalmail #royalmailstamps #happymail #postagestamp #postage 
#postageworlwide #stampcollecting #postal #postagestamps #usedstamp #philately #vintagepostagestamps #philatelistlove #philatelygift #philatelistgift ",Philately,2
818,Fourth day after posting and incompetent @royalmail still not delivered the 'guaranteed before 1.00pm next day' Special Delivery 'freeze on arrival' DNA sequencing samples. UPDATE: #Santa heard a rumour that #royalmail will deliver the package today #ChristmasEve #Christmas ,Customer Service,0
964,"UK Royal Mail workers wildcat strike over racist insult by management
#royalmail

",Customer Service,0
1567,Is there a problem with post being delayed ?  #royalmail,Customer Service,0
1127,My dad just sent me this off his walk 🥰 #royalmail #postman ,Customer Service,0
1711,@RoyalMail twice i have redelivery parcel TWICE failed to deliver even though you said would be here by Friday #royalmail,Customer Service,0
1518,"Within the space of 5 minutes I have @yodel @hermes both deliver. 
Yet @RoyalMailHelp reckon I wasn't home so now have to do a redelivery..... not convinced they even tried!!! #royalmail ",Customer Service,0
1545,"@RoyalMailHelp do your delivery staff post cards anymore?
or would that mean they actually have to attend an address???
#royalmail",Customer Service,0
1850,Mr thompson  says royal mail is not a  letter business  it delivers  billions of letters  a year  have you seen the price of stamps  #royalmail 🦧 ,Customer Service,0
1898,"4 weeks for a DM reply from #royalmail and still waiting for a 1st class card sent on the 1st of December. Not exactly 'next business day' service is it?

Not sure they deserve anything they are striking for. The service has been crap since the #Tories sold it off In 2013.",Customer Service,0
1189,"@RoyalMail
 How come every other delivery/postal service in the world can get our stuff to us in this pandemic, yet our tracked and signed parcel has been in the UK for 20 days with the #Covid_19  excuse #worstserviceever #royalmail",Customer Service,0
1510,@dartfordbridge1 #royalmail how about stop throwing them on the floor and put them back in the post bag then !!,Customer Service,0
1924,"Tracking numbers out on time
#royalmail

 ",Customer Service,0
1708,"

Take a listen please #cwu #royalmail",Customer Service,0
2321,Postman / Postwoman with #Driving - #Wallington @RoyalMail  #Jobs #CustomerService #RoyalMail #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
1632,@RoyalMail postman at G42 delivery office putting my parcels in his bag but saying on @eBay that they got delivered 😡😡😡 ,Customer Service,0
281,#RoyalMail has arrived. — feeling excited,Customer Service,0
1119,"Postman's heartbreaking text to partner minutes before suspected Covid-19 death
 ",Customer Service,0
176,tomorrow is #royalmail #Australia #Christmas last posting day to make sure @handlebarheroes get there before the big day! ,Customer Service,0
745,"Pure love when the postie puts one of they wee red cards through your door when you’re in, and your boyfriend even answers to ask if he has the parcel. Now I need to drag my ass down to the depot AND have to wait until tomorrow. Cheers Royal Mail. #royalmail",Customer Service,0
1011,@markrolfe75 #royalMail are issuing #starWars stamps ,Customer Service,0
768,@USPSHelp please can someone let me know where this package is #royalmail ,Customer Service,0
1607,"Friends posted a card four weeks ago first class from St Helens but still no sign of it in #MANCHESTER
#royalmail @RoyalMail #MENNews",Customer Service,0
1269,Our new neighbourhood postie. #royalmail ,Customer Service,0
1310,Seriously @Hermesparcels! No one has been down  my drive since the #RoyalMail postman this morning. ,Customer Service,0
535,"@boomeranggames LA Noire dispatched yesterday morning - not received today..... again, gettin fed up of service unless its #royalmail",Customer Service,0
2085,🇬🇧No wonder we didn’t get a dividend from #RoyalMail this year. Over paying CEOs needs to stop. This guy has only been in position for 2 yrs &amp; he’s pocketed approx £1.5m. These ‘leeches’ are sucking the financial life out of old establishments &amp; when they’re gone they’re gone🤷🏼‍♀️ ,Politics,3
1599,Anyone else experienced postal delays over the Christmas holiday? Recieved about a dozen cards today posted 21st. Our postman told us not the usual casual recruitment as previous years. #royalmail,Customer Service,0
421,Delivery cards made to look like #RoyalMail ask for ID details #scamaware ,Customer Service,0
941,#royalmail #disappointed card  sent last saturday and still not arrived.,Customer Service,0
1849,Royal Mail expect a pay rise when they treat your Mail and parcels like trash dream on they threw a package 📦 over my back gate today disgusting treat people with respect they don’t care about peoples property they’re a disgrace #royalmail,Customer Service,0
547,Royal mail get your act together in Market Harborough 1 person serving queue out the door it is Christmas you know 😡😡😡😡 #royalmail,Customer Service,0
1677,Careful I got one of these #RoyalMail ,Customer Service,0
2078,"Swinemoor News #205
Singing Exams
New Store Opening Soon
Boris Johnson’s Brexit Plan
New Stamps Released by the Royal Mail
The Weather

#perform #singing #proud #localnews #Brexit #stamps #royalmail #weather ",Politics,3
621,Great effort today #royalmail ,Customer Service,0
2225,"#RoyalMail sell off could be sticky. Sizeable staff costs, declining volumes, margins are long-standing problems in search of a catalyst, like Tue's profit warning. Shares 8p off all-time low of 350p hit earlier, dn 8.5%, now 36% lwr in 2018 1/ ^KO",Financial News,1
198,"Order your #party clutch before #Royalmail strike for five days

 ",Customer Service,0
1536,Not how I expect to receive what once was my photocards ..FFS #RoyalMail what handles my mail ....a TRex 🦖 ,Customer Service,0
298,Thanks for my missed delivery card hanging on the end of the washing line royalmailuk #royalmail ,Customer Service,0
2215,Is #RoyalMail's #FTSE100 status in the 'Danger Zone' on LSE blue-chip reshuffle? @Forbes #postal #shares #UK  @LSEplc,Financial News,1
962,Bloomin eck!! Dev got a parcel delivered with just 2 1st class stamps on it!! Bargain of the year 😂😂 #Corrie #postoffice #royalmail,Customer Service,0
2028,Royal Mail's Tweets Deliver Truth About Nationalisation  via @GuidoFawkes // And give the lie to #Marxist #Labour rants under Corbyn &amp; McDonnell 🤣😉 #RoyalMail,Politics,3
1666,"Have you noticed how the service Royal Mail provides deteriorates in the same proportion the cost of posting a letter goes up. Soon you will pay £3 first class for fuck all service, Why do RM employ postmen who are illiterate and cannot follow simple basic signage. 
#royalmail",Customer Service,0
2285,"✉ Reply n. 308 👑
Birthday reply from HRH The Hereditary Grand Duchess od Luxembourg
----------------------
#royalmail #royalletters #royalreply #stephanieofluxembourg… ",Royal Reply,5
2469,"Clever accounting trick by #royalmail ?, probably a HUGE liability all those unused stamps from years gone by - when they're made invalid it will show as a HUGE profit which I guess bosses and foreign shareholders will benefit, no investment in workers benefits or new vehicles",Financial News,1
895,"@PostOffice why, oh why is it that despite wrapping my items in bubble wrap, securing them with tape to a piece of wood slightly large than item and using tougher envelope I've had 4 items broken at point of delivery? I'm utterly appalled with this service.#complaints #royalmail",Customer Service,0
522,royal mail tracking is crap!#royalmail,Customer Service,0
807,@Tuglets I'm requesting Santa Claus is coming to town from the wonderful @Springsteen.  I need some festive cheer because #RoyalMail couldn't run a bath let alone a postal service,Customer Service,0
1657,When your get someone from Facebook marketplace to trust and understand @RoyalMail home collection and they even get they will bring a label and they don’t have to print or do anything but wrap the item up! #gamechanger #atlast #royalmail ,Customer Service,0
790,Well done #RoyalMail and what a beautiful little boy who sent his late father a birthday card charms viewers  via @Femail #JaseHyndman,Customer Service,0
1144,Been at work all day but somehow at 1257 managed to sign for a parcel at my home address......... #royalmail,Customer Service,0
1457,@GAMEdigital Now wishing I had asked for next day delivery on order as #RoyalMail 48 hour delivery is looking like being 96 hours,Customer Service,0
2381,"Driver

Wrexham | Royal Mail 

Part time | £11.14 per hour

#wrexhamjobs #royalmail

 ",Royal Mail Jobs,4
1232,"#RoyalMail set for 'material loss' despite jump in parcels

 

#LondonBusiness",Customer Service,0
1729,@KwasiKwarteng Good!  i need my mail #royalmail,Customer Service,0
1097,And same with your flaps too ❤️ ,Customer Service,0
394,"Mystery of missing #Somerset cast iron post box solved
 #royalmail",Customer Service,0
1763,Thought #RoyalMail  were on strike,Customer Service,0
1558,Clever bit of marketing by #royalmail today - flyer arrived advertising parcel collection from homer service - focuses on those who don’t want to go out and timing perfect for Christmas gifts.,Customer Service,0
570,Last Christmas posting for 1st class and special guaranteed tomorrow #royalmail,Customer Service,0
1897,I have found no way to send s picture to #royalmail so perhaps they will see this. Training in how to blok a pavement: ,Customer Service,0
696,"Really surprised that #RoyalMail and other delivery companies haven’t just brought a load of #env2000s from #Nissan, for last mile delivery. It seems a no brainier as a far as total cost goes, but then again my Zoe is delayed because the french post office brought a load of them ",Customer Service,0
1022,"Big thanks to #Parcelforce on 2 upset children as we don't yet have a christmas tree to put up.  After 2 attempts to deliver a fortnight ago, trying to get them to redeliver is a nightmare #royalmail #royalfail #ruiningchristmas @anitaliverpool ",Customer Service,0
552,#royalmail #kettering No note left by postman had to collect from sorting office butcould have come through the door ,Customer Service,0
2351,Postperson with #Driving 6 mth #FTC P/T 28 hrs pw @RoyalMail #Mitcham #Merton   #Jobs #CustomerServiceJobs #DrivingJobs #RoyalMail #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
2298,"✉ Reply n. 339 👑
Birthday reply from HSH The Hereditary Prince of Liechtenstein
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
2238,"#RoyalMail saw a 7% increase in share price this week after a court decision in its favour. Its #labour issues are far from resolved, but here's why I think it's a good #investment bet right now. #LondonStockExchange #FTSE100
",Financial News,1
969,Why say delivery between 10.52am and 2.52 pm it its not gonna be here ive fucked the gym off waiting for these #nfl tickets #royalmail 😩,Customer Service,0
69,Has any one have experience with royal mail international signed ?#royalmail,Customer Service,0
1209,"@RoyalMail where is the scenes in this?Drove from N4 to N19 in ur collection office only to find it’s close as times on two cards different!! I waited all day for the parcel ur staff didn’t even bother ringing the buzzer,left card at building entrance??!!! #royalmail #royalmailuk ",Customer Service,0
1720,does anyone give a monkeys about a #royalmail strike - anything important is via email only junk mail is delivered,Customer Service,0
203,#royalmail 1 out 3 signed for parcel not arrived. How do I find out why?,Customer Service,0
1024,#royalmail great app well worth downloading ,Customer Service,0
228,Ordered a non xmas item due 28/12 delivered today! Excellent service @AmazonUK better than #RoyalMail or #Argos,Customer Service,0
272,"Saturday am parcel collection. Parking expensive.  treated with rudeness  + hostility  dirty, unwelcoming place.#royalmail",Customer Service,0
2253,"$ARVL $21.15+ right now  🤑
My LT PT is still $50+ with many ups &amp; downs imo
#SupDup #EV #Buses #Vans $UPS $UBER #RoyalMail #FirstBuses #Arrival",Financial News,1
2075,"🤣 @GaryGibbonBlog *IS* looking foolish! Thought he'd got #JeremyCorbyn on ropes on #RoyalMail #Nationalisation viz ""won't people be sending fewer letters?"" asks Gary 🤨

Jezza replies ""#OnlineShopping will increase"" 

PS: When are you interviewing #BorisTheCoward? 🤔 

#C4News ",Politics,3
486,Royal Mail staff set to strike over pay and pensions. ,Customer Service,0
2506,New royal letter from Germany 🇩🇪 #Royal #royalletter #royalmail #royalreply #Christmas #germany ,Royal Reply,5
908,"Gotta love #parcelforce #royalmail. Peeing down so dropped two packages, One extremely delicate over side gate. Great service guys 👍",Customer Service,0
1949,"Not sure what was braver — going out in the snow last week or the fact he was still wearing shorts! @RoyalMail 
 ",Royal Reply,5
2433,CITADEL ADVISORS LLC declares that on March 09 it reduced its net short position on ROYAL MAIL PLC from 0.62% to 0.58%  #RoyalMail,Financial News,1
415,the only update the site and customer service gives is 'handed to official partner in London'- #Royalmail,Customer Service,0
984,No actual letters for me today but the #royalmail still put advertising crap through my letterbox. 😡,Customer Service,0
1856,"I now have 3 messages ref late deliveries can any posties let me know true status at sorting offices. 
I’m not anti strike ( far from it) but trying to decide if I should just shut up shop until after Xmas ? #RoyalMAIL #postalstrike",Customer Service,0
938,"Royal Mail to ballot 100,000 workers on strike action ",Customer Service,0
1619,#royalmail still waiting for a 1st class package sent last Thursday.,Customer Service,0
1731,#postoffice #royalmail when your birthday cards come through the post like this. Looks like someone is looking for something 😡🤬 ,Customer Service,0
2183,"Postperson with Driving - #MarketHarborough Delivery Office @RoyalMail 

Our postal workers are part of the community. We don’t just deliver post: we deliver a promise. Deliver your application today: 

#HarboroughJobs #Leicestershire #RoyalMail ",Royal Mail Jobs,4
